year,county,state,fips,rate
1961,Andaman & Nicobar Island,India,Andaman & Nicobar Island,0
1961,Andhra Pradesh,India,Andhra Pradesh,6.2
1961,Arunanchal Pradesh,India,Arunanchal Pradesh,0
1961,Assam,India,Assam,4.3
1961,Bihar,India,Bihar,5.6
1961,Chandigarh,India,Chandigarh,0
1961,Chhattisgarh,India,Chhattisgarh,0
1961,Dadara & Nagar Havelli,India,Dadara & Nagar Havelli,0
1961,Daman & Diu,India,Daman & Diu,0
1961,NCT of Delhi,India,NCT of Delhi,4.1
1961,Goa,India,Goa,0
1961,Gujarat,India,Gujarat,4.9
1961,Haryana,India,Haryana,0
1961,Himachal Pradesh,India,Himachal Pradesh,7.4
1961,Jammu & Kashmir,India,Jammu & Kashmir,5.1
1961,Jharkhand,India,Jharkhand,0
1961,Karnataka,India,Karnataka,5.7
1961,Kerala,India,Kerala,5.8
1961,Lakshadweep,India,Lakshadweep,0
1961,Madhya Pradesh,India,Madhya Pradesh,5.2
1961,Maharashtra,India,Maharashtra,5.3
1961,Manipur,India,Manipur,0
1961,Meghalaya,India,Meghalaya,0
1961,Mizoram,India,Mizoram,0
1961,Nagaland,India,Nagaland,0
1961,Odisha,India,Odisha,5.7
1961,Puducherry,India,Puducherry,0
1961,Punjab,India,Punjab,6.6
1961,Rajasthan,India,Rajasthan,5.1
1961,Sikkim,India,Sikkim,0
1961,Tamil Nadu,India,Tamil Nadu,5.6
1961,Telangana,India,Telangana,0
1961,Tripura,India,Tripura,0
1961,Uttar Pradesh,India,Uttar Pradesh,6.3
1961,Uttarakhand,India,Uttarakhand,0
1961,West Bengal,India,West Bengal,5
1971,Andaman & Nicobar Island,India,Andaman & Nicobar Island,0
1971,Andhra Pradesh,India,Andhra Pradesh,6.4
1971,Arunanchal Pradesh,India,Arunanchal Pradesh,0
1971,Assam,India,Assam,4.7
1971,Bihar,India,Bihar,5.9
1971,Chandigarh,India,Chandigarh,0
1971,Chhattisgarh,India,Chhattisgarh,0
1971,Dadara & Nagar Havelli,India,Dadara & Nagar Havelli,0
1971,Daman & Diu,India,Daman & Diu,0
1971,NCT of Delhi,India,NCT of Delhi,4.3
1971,Goa,India,Goa,0
1971,Gujarat,India,Gujarat,5.3
1971,Haryana,India,Haryana,5.8
1971,Himachal Pradesh,India,Himachal Pradesh,7.2
1971,Jammu & Kashmir,India,Jammu & Kashmir,5.6
1971,Jharkhand,India,Jharkhand,0
1971,Karnataka,India,Karnataka,6.1
1971,Kerala,India,Kerala,6.2
1971,Lakshadweep,India,Lakshadweep,0
1971,Madhya Pradesh,India,Madhya Pradesh,5.8
1971,Maharashtra,India,Maharashtra,5.7
1971,Manipur,India,Manipur,0
1971,Meghalaya,India,Meghalaya,0
1971,Mizoram,India,Mizoram,0
1971,Nagaland,India,Nagaland,0
1971,Odisha,India,Odisha,6
1971,Puducherry,India,Puducherry,0
1971,Punjab,India,Punjab,7.5
1971,Rajasthan,India,Rajasthan,5.5
1971,Sikkim,India,Sikkim,0
1971,Tamil Nadu,India,Tamil Nadu,5.7
1971,Telangana,India,Telangana,0
1971,Tripura,India,Tripura,0
1971,Uttar Pradesh,India,Uttar Pradesh,6.8
1971,Uttarakhand,India,Uttarakhand,0
1971,West Bengal,India,West Bengal,5.3
1981,Andaman & Nicobar Island,India,Andaman & Nicobar Island,0
1981,Andhra Pradesh,India,Andhra Pradesh,6.4
1981,Arunanchal Pradesh,India,Arunanchal Pradesh,0
1981,Assam,India,Assam,0
1981,Bihar,India,Bihar,6.3
1981,Chandigarh,India,Chandigarh,0
1981,Chhattisgarh,India,Chhattisgarh,0
1981,Dadara & Nagar Havelli,India,Dadara & Nagar Havelli,0
1981,Daman & Diu,India,Daman & Diu,0
1981,NCT of Delhi,India,NCT of Delhi,4.5
1981,Goa,India,Goa,0
1981,Gujarat,India,Gujarat,5.6
1981,Haryana,India,Haryana,6.4
1981,Himachal Pradesh,India,Himachal Pradesh,7.5
1981,Jammu & Kashmir,India,Jammu & Kashmir,5.8
1981,Jharkhand,India,Jharkhand,0
1981,Karnataka,India,Karnataka,6.3
1981,Kerala,India,Kerala,7.6
1981,Lakshadweep,India,Lakshadweep,0
1981,Madhya Pradesh,India,Madhya Pradesh,6
1981,Maharashtra,India,Maharashtra,6.3
1981,Manipur,India,Manipur,0
1981,Meghalaya,India,Meghalaya,0
1981,Mizoram,India,Mizoram,0
1981,Nagaland,India,Nagaland,0
1981,Odisha,India,Odisha,6.3
1981,Puducherry,India,Puducherry,0
1981,Punjab,India,Punjab,7.7
1981,Rajasthan,India,Rajasthan,5.4
1981,Sikkim,India,Sikkim,0
1981,Tamil Nadu,India,Tamil Nadu,6.5
1981,Telangana,India,Telangana,0
1981,Tripura,India,Tripura,0
1981,Uttar Pradesh,India,Uttar Pradesh,6.5
1981,Uttarakhand,India,Uttarakhand,0
1981,West Bengal,India,West Bengal,5.4
1991,Andaman & Nicobar Island,India,Andaman & Nicobar Island,0
1991,Andhra Pradesh,India,Andhra Pradesh,6.5
1991,Arunanchal Pradesh,India,Arunanchal Pradesh,0
1991,Assam,India,Assam,5.3
1991,Bihar,India,Bihar,6.1
1991,Chandigarh,India,Chandigarh,0
1991,Chhattisgarh,India,Chhattisgarh,0
1991,Dadara & Nagar Havelli,India,Dadara & Nagar Havelli,0
1991,Daman & Diu,India,Daman & Diu,0
1991,NCT of Delhi,India,NCT of Delhi,4.7
1991,Goa,India,Goa,0
1991,Gujarat,India,Gujarat,6.1
1991,Haryana,India,Haryana,7.5
1991,Himachal Pradesh,India,Himachal Pradesh,7.8
1991,Jammu & Kashmir,India,Jammu & Kashmir,5.8
1991,Jharkhand,India,Jharkhand,0
1991,Karnataka,India,Karnataka,6.8
1991,Kerala,India,Kerala,8.8
1991,Lakshadweep,India,Lakshadweep,0
1991,Madhya Pradesh,India,Madhya Pradesh,6.4
1991,Maharashtra,India,Maharashtra,6.9
1991,Manipur,India,Manipur,0
1991,Meghalaya,India,Meghalaya,0
1991,Mizoram,India,Mizoram,0
1991,Nagaland,India,Nagaland,0
1991,Odisha,India,Odisha,7
1991,Puducherry,India,Puducherry,0
1991,Punjab,India,Punjab,7.6
1991,Rajasthan,India,Rajasthan,6.1
1991,Sikkim,India,Sikkim,0
1991,Tamil Nadu,India,Tamil Nadu,7.3
1991,Telangana,India,Telangana,0
1991,Tripura,India,Tripura,0
1991,Uttar Pradesh,India,Uttar Pradesh,6.6
1991,Uttarakhand,India,Uttarakhand,0
1991,West Bengal,India,West Bengal,6
2001,Andaman & Nicobar Island,India,Andaman & Nicobar Island,0
2001,Andhra Pradesh,India,Andhra Pradesh,7.2
2001,Arunanchal Pradesh,India,Arunanchal Pradesh,0
2001,Assam,India,Assam,5.2
2001,Bihar,India,Bihar,5.5
2001,Chandigarh,India,Chandigarh,0
2001,Chhattisgarh,India,Chhattisgarh,6.5
2001,Dadara & Nagar Havelli,India,Dadara & Nagar Havelli,0
2001,Daman & Diu,India,Daman & Diu,0
2001,NCT of Delhi,India,NCT of Delhi,5.1
2001,Goa,India,Goa,0
2001,Gujarat,India,Gujarat,6.7
2001,Haryana,India,Haryana,7
2001,Himachal Pradesh,India,Himachal Pradesh,8.8
2001,Jammu & Kashmir,India,Jammu & Kashmir,6.2
2001,Jharkhand,India,Jharkhand,5
2001,Karnataka,India,Karnataka,7.3
2001,Kerala,India,Kerala,10.6
2001,Lakshadweep,India,Lakshadweep,0
2001,Madhya Pradesh,India,Madhya Pradesh,6.2
2001,Maharashtra,India,Maharashtra,8.3
2001,Manipur,India,Manipur,5.3
2001,Meghalaya,India,Meghalaya,5.3
2001,Mizoram,India,Mizoram,5.3
2001,Nagaland,India,Nagaland,5.3
2001,Odisha,India,Odisha,7.8
2001,Puducherry,India,Puducherry,0
2001,Punjab,India,Punjab,8.7
2001,Rajasthan,India,Rajasthan,6
2001,Sikkim,India,Sikkim,5.3
2001,Tamil Nadu,India,Tamil Nadu,9
2001,Telangana,India,Telangana,0
2001,Tripura,India,Tripura,5.3
2001,Uttar Pradesh,India,Uttar Pradesh,6.1
2001,Uttarakhand,India,Uttarakhand,7.3
2001,West Bengal,India,West Bengal,6.6
2011,Andaman & Nicobar Island,India,Andaman & Nicobar Island,0
2011,Andhra Pradesh,India,Andhra Pradesh,9.1
2011,Arunanchal Pradesh,India,Arunanchal Pradesh,0
2011,Assam,India,Assam,6.5
2011,Bihar,India,Bihar,7.2
2011,Chandigarh,India,Chandigarh,0
2011,Chhattisgarh,India,Chhattisgarh,7.9
2011,Dadara & Nagar Havelli,India,Dadara & Nagar Havelli,0
2011,Daman & Diu,India,Daman & Diu,0
2011,NCT of Delhi,India,NCT of Delhi,6.5
2011,Goa,India,Goa,0
2011,Gujarat,India,Gujarat,8.4
2011,Haryana,India,Haryana,7.6
2011,Himachal Pradesh,India,Himachal Pradesh,10.3
2011,Jammu & Kashmir,India,Jammu & Kashmir,7.7
2011,Jharkhand,India,Jharkhand,7.1
2011,Karnataka,India,Karnataka,9.2
2011,Kerala,India,Kerala,12.3
2011,Lakshadweep,India,Lakshadweep,0
2011,Madhya Pradesh,India,Madhya Pradesh,7.1
2011,Maharashtra,India,Maharashtra,9
2011,Manipur,India,Manipur,7.3
2011,Meghalaya,India,Meghalaya,7.3
2011,Mizoram,India,Mizoram,7.3
2011,Nagaland,India,Nagaland,7.3
2011,Odisha,India,Odisha,9
2011,Puducherry,India,Puducherry,0
2011,Punjab,India,Punjab,9.7
2011,Rajasthan,India,Rajasthan,7.3
2011,Sikkim,India,Sikkim,7.3
2011,Tamil Nadu,India,Tamil Nadu,11.2
2011,Telangana,India,Telangana,0
2011,Tripura,India,Tripura,7.3
2011,Uttar Pradesh,India,Uttar Pradesh,7.1
2011,Uttarakhand,India,Uttarakhand,8.5
2011,West Bengal,India,West Bengal,8.5
